step,value
250,-16.284286499023438
500,-12.066527366638184
750,-16.520030975341797
1000,0.016668017953634262
1250,-17.469724655151367
1500,0.03131825849413872
1750,-13.45918083190918
2000,-13.88500690460205
2250,-16.952177047729492
2500,0.022673267871141434
2750,-13.51810073852539
3000,-13.210474967956543
3250,-13.369014739990234
3500,-11.304676055908203
3750,-21.298418045043945
4000,-17.062705993652344
4250,-23.098087310791016
4500,-18.06465721130371
4750,-19.528133392333984
5000,-15.89186954498291
5250,-13.980844497680664
5500,-17.870080947875977
5750,-15.591483116149902
6000,-16.996164321899414
6250,-14.878230094909668
6500,-12.052239418029785
6750,-15.57751750946045
7000,-1.5048660039901733
7250,-3.5010499954223633
7500,-12.964423179626465
7750,-13.99558162689209
8000,-2.024937152862549
8250,-9.340964317321777
8500,-11.989458084106445
8750,-2.032635450363159
9000,0.23845602571964264
9250,0.24647359549999237
9500,0.22178061306476593
9750,-10.051312446594238
10000,0.2126876413822174
10250,-9.055246353149414
10500,-5.684920310974121
10750,-11.20910930633545
11000,-2.367185592651367
11250,0.2149066925048828
11500,0.26344630122184753
11750,0.10665257275104523
12000,-0.3088492453098297
12250,0.12072709202766418
12500,0.12298716604709625
12750,0.06839977204799652
13000,-5.010498523712158
13250,0.11300293356180191
13500,0.11861950159072876
13750,0.11375477910041809
14000,0.12667042016983032
14250,0.10637252777814865
14500,0.11874135583639145
14750,0.11883337795734406
15000,0.11980264633893967
15250,0.15211142599582672
15500,0.11002332717180252
15750,0.11267201602458954
16000,0.10015951097011566
16250,0.11075209081172943
16500,0.13311852514743805
16750,0.11902754008769989
17000,0.13169097900390625
17250,0.11889053881168365
17500,0.12483607232570648
17750,0.12090356647968292
18000,0.13164357841014862
18250,0.11531127989292145
18500,0.11895687133073807
18750,0.11435965448617935
19000,0.12142692506313324
19250,0.1246151477098465
19500,0.11748084425926208
19750,0.11948715150356293
20000,0.1374698281288147
20250,0.12684331834316254
20500,0.3795016407966614
20750,0.09975406527519226
21000,0.1350192278623581
21250,0.12150417268276215
21500,0.15337885916233063
21750,0.1354892998933792
22000,0.12558002769947052
22250,0.11968953907489777
22500,0.11203529685735703
22750,0.1379142552614212
23000,0.12879879772663116
23250,0.1225033774971962
23500,0.1159323900938034
23750,0.12339484691619873
24000,0.1269666850566864
24250,0.11617434769868851
24500,0.11865587532520294
24750,0.12436065822839737
25000,0.13383255898952484
