joint,amplitude_deg,rise_time_ms,overshoot_pct,rmse_deg,nrmse_pct
wrist_y_joint,10.0,1875.0,,1.6354697942733765,18.009309470653534
wrist_y_joint,20.0,216.66666666666669,,2.9720940589904785,15.748152136802673
wrist_y_joint,30.0,208.33333333333337,,4.7638468742370605,16.564004123210907
wrist_x_joint,10.0,,,2.2602717876434326,26.841765642166138
wrist_x_joint,20.0,2400.0,,3.556412696838379,19.739477336406708
wrist_x_joint,30.0,691.6666666666666,,5.301825046539307,19.16145533323288
elbow_joint,20.0,,,4.7888712882995605,27.37533450126648
elbow_joint,30.0,,,7.153071880340576,27.72907316684723
elbow_joint,40.0,,,9.71552848815918,28.393176198005676
