method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h5_oracle,23,55,1,150,1.79509,1,7371,5892,0.13585,0.065834,0.029274,-0.350521,0.429816,1.05,1.05659,0.750337,0.553194,0.750337,0.608903,0.628504,0.566482,420,137,0.0834631,-1,1,1
h5_oracle,24,55,1,294,0.748913,0,3182,9696,-0.132276,0.039856,0.209037,-0.341844,0.512045,1.05,1.03433,0.697706,0.503036,0.697706,0.67679,0.586049,0.544009,420,137,0.0841967,1,1,1
h5_oracle,25,55,1,75,5.61884,1,7934,3848,0.168591,0.0671864,-0.159095,-0.33908,0.522205,1.05,1.01719,0.739541,0.545996,0.739541,0.718399,0.620658,0.558294,420,137,0.0830069,1,1,1
h5_oracle,26,55,1,278,5.12962,0,4851,5892,-0.0805063,0.0196667,0.029274,-0.350521,0.386145,1.05,0.894987,0.747638,0.540936,0.747638,0.585927,0.640785,0.569721,420,137,0.110828,-1,1,1
h5_oracle,27,55,1,204,5.29711,1,1163,9696,-0.195587,0.131518,0.209037,-0.341844,0.62279,1.05,1.07846,0.696356,0.501799,0.696356,0.790092,0.56729,0.516557,420,137,0.100482,-1,1,1
h5_oracle,28,55,1,266,4.68919,0,7692,5892,0.145391,0.0676126,0.029274,-0.350521,0.433993,1.05,1.02066,0.812416,0.599978,0.812416,0.577621,0.695854,0.602869,420,137,0.0876992,1,1,1
h5_oracle,29,55,1,280,5.05481,0,3801,9696,-0.158494,-0.325921,0.209037,-0.341844,0.367889,1.05,1.06676,0.573549,0.443995,0.573549,0.521036,0.616053,0.553002,420,137,0.0774773,1,1,1
h5_oracle,30,55,1,83,4.67499,1,10890,3848,0.256365,0.150548,-0.159095,-0.33908,0.642139,1.05,0.984689,0.531714,0.388439,0.535762,0.807173,0.357044,0.296593,420,137,0.0906187,1,1,1
h5_oracle,31,55,1,259,2.20094,0,2752,5892,-0.165655,-0.0698404,0.029274,-0.350521,0.341729,1.05,0.970902,0.863698,0.626968,0.866397,0.515671,0.75228,0.687307,420,137,0.0783874,-1,1,1
h5_oracle,32,55,1,57,3.04687,1,4978,5892,-0.0730076,-0.0885229,0.029274,-0.350521,0.281414,1.05,1.20215,0.518219,0.433423,0.519568,0.429355,0.610405,0.557527,420,137,0.0948575,1,1,1
h5_oracle,33,55,1,195,0.154563,1,4564,5892,-0.111217,-0.173302,0.029274,-0.350521,0.226284,1.05,0.903076,0.80027,0.604476,0.80027,0.407481,0.787692,0.72588,420,137,0.0732193,1,1,1
h5_oracle,34,55,1,95,5.22234,0,3656,9696,-0.144797,0.0747862,0.209037,-0.341844,0.546846,1.05,1.03412,0.701754,0.525641,0.701754,0.699044,0.592456,0.548562,420,137,0.0847982,-1,1,1
h5_oracle,35,55,1,124,3.19863,0,9146,3848,0.181404,0.0915031,-0.159095,-0.33908,0.54901,1.05,1.03624,0.757085,0.540148,0.757085,0.727463,0.5975,0.532847,420,137,0.0839483,1,1,1
h5_oracle,36,55,1,6,0.639832,0,1637,9696,-0.195689,0.138411,0.209037,-0.341844,0.628062,1.05,1.08026,0.700405,0.499888,0.700405,0.773061,0.556748,0.50982,420,137,0.0943464,1,1,1
