method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h3s,24,33,1,227,0.528463,1,6895,6320,0.11804,0.228951,0.0703468,0.151011,0.0917164,1.05,1.40231,0.416438,0.424201,0.452055,0.240726,0.695142,0.64267,89,27,0.0779322,-1,1,1
h3s,25,33,1,197,0.884735,1,6470,5640,0.0840807,0.227825,0.000827789,0.195272,0.0898527,1.05,0.839772,0.428767,0.408333,0.438356,0.268065,0.671052,0.618168,89,27,0.071916,-1,1,1
h3s,26,33,1,227,4.64024,1,6895,5775,0.11804,0.228951,0.0146809,0.194904,0.108823,1.05,0.771855,0.456164,0.429795,0.473973,0.258996,0.69474,0.632789,89,27,0.073466,-1,1,1
h3s,27,33,1,299,1.97808,0,5677,6524,0.00568771,0.232563,0.0888081,0.254694,0.0863166,1.05,0.946029,0.483562,0.425799,0.5,0.260112,0.660515,0.616063,89,27,0.0730053,1,1,1
h3s,28,33,1,233,4.20921,0,5612,6770,-0.00139141,0.233456,0.108576,0.252039,0.111526,1.05,0.852822,0.409589,0.389954,0.434247,0.229715,0.673238,0.606549,89,27,0.0743534,1,1,1
h3s,29,33,1,299,5.15664,1,5677,6122,0.00568771,0.232563,0.0545893,0.2383,0.0492371,1.05,0.997953,0.389041,0.381963,0.419178,0.226293,0.646309,0.616051,89,27,0.0729656,-1,1,1
h3s,30,33,1,162,0.580004,1,5545,5446,-0.00935364,0.172649,-0.022934,0.188736,0.0220111,1.05,1.00232,0.406849,0.369635,0.406849,0.225502,0.60021,0.573856,89,27,0.0723298,1,1,1
h3s,31,33,1,227,6.00985,1,6895,5929,0.11804,0.228951,0.0331345,0.178196,0.0989221,1.05,1.12665,0.449315,0.423288,0.457534,0.303353,0.698627,0.640867,89,27,0.0735442,-1,1,1
h3s,32,33,1,310,2.92079,1,5736,5726,0.0108252,0.154205,0.00946426,0.172441,0.01848,1.05,0.98933,0.365753,0.358105,0.390411,0.205251,0.568785,0.558565,89,27,0.0746649,1,1,1
h3s,33,33,1,197,0.528742,0,6470,6687,0.0840807,0.227825,0.0997791,0.174065,0.0560057,1.05,0.999667,0.384932,0.413242,0.435616,0.20824,0.668185,0.636791,89,27,0.0726103,-1,1,1
h3s,34,33,1,233,5.73608,1,5612,6692,-0.00139141,0.233456,0.100676,0.198526,0.107878,1.05,1.11499,0.545205,0.434931,0.545205,0.339181,0.639506,0.56927,89,27,0.0750314,-1,1,1
h3s,35,33,1,84,0.573881,1,6511,6190,0.0879335,0.250765,0.061821,0.24074,0.0292025,1.05,1.00364,0.386301,0.379338,0.40137,0.209072,0.696813,0.669655,89,27,0.0715994,1,1,1
h3s,36,33,1,162,1.33489,1,5545,6482,-0.00935364,0.172649,0.0852194,0.238365,0.115346,1.05,1.11451,0.480822,0.415068,0.480822,0.300138,0.605219,0.553581,89,27,0.0734911,-1,1,1
h3s,37,33,1,310,5.81125,1,5736,5890,0.0108252,0.154205,0.0277863,0.160778,0.0184372,1.05,0.996588,0.349315,0.358447,0.369863,0.201928,0.574932,0.555017,89,27,0.0752978,1,1,1
h3s,38,33,1,233,4.31057,0,5612,5601,-0.00139141,0.233456,-0.00324249,0.188753,0.045737,1.05,1.00269,0.382192,0.420091,0.473973,0.202302,0.626696,0.61047,89,27,0.0720413,-1,1,1
h3s,39,33,1,233,4.88757,0,5612,5594,-0.00139141,0.233456,-0.00426102,0.16153,0.0722816,1.05,0.932892,0.375342,0.427511,0.453425,0.21638,0.603613,0.570593,89,27,0.0712331,-1,1,1
h3s,40,33,1,233,2.78822,1,5612,5626,-0.00139141,0.233456,-0.000775337,0.184223,0.0492363,1.05,0.989684,0.49589,0.417694,0.49589,0.302979,0.61172,0.587648,89,27,0.0711758,1,1,1
h3s,41,33,1,233,1.07471,1,5612,6581,-0.00139141,0.233456,0.0928764,0.18055,0.108487,1.05,0.781058,0.427397,0.404909,0.430137,0.264149,0.642959,0.579542,89,27,0.0720273,-1,1,1
h3s,42,33,1,257,2.20679,1,5403,6133,-0.0286732,0.155472,0.0549269,0.239408,0.118591,1.05,1.00599,0.505479,0.423059,0.505479,0.298118,0.593282,0.531026,89,27,0.0733671,-1,1,1
h3s,43,33,1,162,1.17356,0,5545,5561,-0.00935364,0.172649,-0.00805569,0.199511,0.0268965,1.05,1.00192,0.338356,0.384018,0.419178,0.210669,0.584876,0.574439,89,27,0.0732732,-1,1,1
h3s,44,33,1,257,2.02355,1,5403,5444,-0.0286732,0.155472,-0.0230331,0.192329,0.037682,1.05,1.03969,0.409589,0.378767,0.424658,0.248552,0.59461,0.574592,89,27,0.0722386,1,1,1
h3s,45,33,1,257,1.73218,0,5403,5588,-0.0286732,0.155472,-0.00405598,0.173027,0.0302783,1.05,0.99795,0.384932,0.353311,0.386301,0.236876,0.580774,0.558912,89,27,0.0744869,-1,1,1
h3s,46,33,1,162,4.06729,0,5545,6799,-0.00935364,0.172649,0.109238,0.231035,0.132341,1.05,1.19255,0.461644,0.39669,0.486301,0.262649,0.616216,0.547762,89,27,0.0812133,1,1,1
h3s,47,33,1,299,1.43815,0,5677,6609,0.00568771,0.232563,0.0954819,0.254486,0.0924317,1.05,0.813994,0.449315,0.420205,0.465753,0.251598,0.6674,0.616383,89,27,0.0727771,1,1,1
h3s,48,33,1,90,0.248018,0,6647,6187,0.0966558,0.209372,0.0614395,0.241489,0.0476628,1.05,0.983339,0.408219,0.390297,0.447945,0.237656,0.676568,0.647622,89,27,0.0735731,1,1,1
h3s,49,33,1,84,3.28042,1,6511,6222,0.0879335,0.250765,0.0618305,0.218216,0.0426017,1.05,0.982721,0.431507,0.388356,0.431507,0.219141,0.69045,0.660622,89,27,0.0699985,-1,1,1
h3s,50,33,1,299,2.03898,1,5677,5561,0.00568771,0.232563,-0.00805569,0.199511,0.0364519,1.05,1.02146,0.421918,0.381621,0.421918,0.24719,0.631021,0.613074,89,27,0.0720601,-1,1,1
h3s,51,33,1,162,1.83683,1,5545,6048,-0.00935364,0.172649,0.0437336,0.20783,0.0640097,1.05,1.00861,0.39726,0.365753,0.39726,0.250598,0.588906,0.55328,89,27,0.0734554,-1,1,1
h3s,52,33,1,197,0.157417,1,6470,6683,0.0840807,0.227825,0.0986824,0.15044,0.0787505,1.05,0.981281,0.465753,0.418721,0.480822,0.244656,0.668256,0.628006,89,27,0.0733839,1,1,1
h3s,53,33,1,233,4.57545,0,5612,5976,-0.00139141,0.233456,0.0377846,0.184818,0.0624528,1.05,0.996087,0.423288,0.392237,0.473973,0.238054,0.637502,0.607348,89,27,0.0724378,-1,1,1
h3s,54,33,1,197,0.0432777,0,6470,5600,0.0840807,0.227825,-0.00329781,0.195103,0.0937287,1.05,0.89536,0.463014,0.41016,0.467123,0.263312,0.671126,0.61599,89,27,0.0742584,1,1,1
h3s,55,33,1,162,0.240596,0,5545,6483,-0.00935364,0.172649,0.0865364,0.239016,0.116657,1.05,0.9714,0.523288,0.427397,0.523288,0.287326,0.601069,0.553379,89,27,0.0745596,1,1,1
h3s,56,33,1,310,0.646446,1,5736,5600,0.0108252,0.154205,-0.00329781,0.195103,0.0432674,1.05,0.996292,0.427397,0.373858,0.432877,0.2593,0.575159,0.555756,89,27,0.0712027,-1,1,1
h3s,57,33,1,227,5.41529,0,6895,5601,0.11804,0.228951,-0.00324249,0.188753,0.12778,1.05,0.891617,0.490411,0.424201,0.494521,0.269529,0.674591,0.604913,89,27,0.077773,-1,1,1
h3s,58,33,1,227,0.501032,1,6895,5626,0.11804,0.228951,-0.000775337,0.184223,0.127202,1.05,1.01492,0.453425,0.39726,0.453425,0.274921,0.683199,0.614508,89,27,0.0861558,1,1,1
h3s,59,33,1,257,4.53278,0,5403,5856,-0.0286732,0.155472,0.0265017,0.234531,0.0965625,1.05,1.3425,0.412329,0.371461,0.413699,0.294449,0.604252,0.557464,89,27,0.0733341,-1,1,1
h3s,60,33,1,227,0.379167,0,6895,5271,0.11804,0.228951,-0.043932,0.235266,0.162288,1.05,0.929589,0.591781,0.46153,0.59726,0.348764,0.67443,0.59861,89,27,0.0887196,1,1,1
h3s,61,33,1,233,0.428034,0,5612,5529,-0.00139141,0.233456,-0.0099411,0.215157,0.0201992,1.05,1.00943,0.415068,0.382192,0.432877,0.256657,0.632369,0.612545,89,27,0.0727516,-1,1,1
h3s,62,33,1,90,4.79099,0,6647,5414,0.0966558,0.209372,-0.0258961,0.225992,0.123674,1.05,0.867888,0.515068,0.447489,0.516438,0.276745,0.674102,0.603562,89,27,0.0725181,-1,1,1
h3s,63,33,1,233,3.31033,1,5612,6563,-0.00139141,0.233456,0.0913572,0.24531,0.0935031,1.05,1.12594,0.532877,0.44589,0.536986,0.320522,0.662126,0.609253,89,27,0.0733147,1,1,1
h3s,64,33,1,90,5.75537,0,6647,6086,0.0966558,0.209372,0.0482597,0.185621,0.0539098,1.05,0.997726,0.376712,0.363927,0.386301,0.228478,0.668122,0.637928,84,29,0.0857406,1,1,1
h3s,65,33,1,257,5.26492,0,5403,6251,-0.0286732,0.155472,0.0675697,0.242704,0.129989,1.05,1.26772,0.489041,0.402397,0.489041,0.30775,0.590537,0.527803,84,29,0.0769013,-1,1,1
h3s,66,33,1,299,3.37905,0,5677,6578,0.00568771,0.232563,0.0908718,0.183365,0.0983707,1.05,1.51129,0.479452,0.415297,0.491781,0.294679,0.637961,0.578055,84,29,0.072724,1,1,1
h3s,67,33,1,90,4.23151,0,6647,5624,0.0966558,0.209372,-0.000953674,0.179703,0.102019,1.05,0.749971,0.443836,0.407877,0.446575,0.278403,0.668189,0.614214,84,29,0.0719776,-1,1,1
h3s,68,33,1,257,5.47658,0,5403,6451,-0.0286732,0.155472,0.0839272,0.208683,0.124579,1.05,1.28991,0.486301,0.40605,0.486301,0.312253,0.592277,0.52821,84,29,0.0739122,-1,1,1
h3s,69,33,1,90,3.14735,0,6647,5894,0.0966558,0.209372,0.0290899,0.214102,0.0678273,1.05,0.920835,0.436986,0.391438,0.447945,0.258178,0.668825,0.627534,84,29,0.0768351,-1,1,1
h3s,70,33,1,233,0.685432,0,5612,5772,-0.00139141,0.233456,0.0144615,0.177656,0.0583238,1.05,1.00142,0.463014,0.406507,0.468493,0.279816,0.641582,0.610814,84,29,0.0718031,1,1,1
h3s,71,33,1,257,0.0885521,0,5403,5782,-0.0286732,0.155472,0.0153532,0.166397,0.0453648,1.05,1.00188,0.393151,0.365411,0.40137,0.220722,0.577213,0.551247,84,29,0.0792627,-1,1,1
h3s,72,33,1,84,2.6166,1,6511,6046,0.0879335,0.250765,0.0442095,0.205917,0.0632233,1.05,0.988495,0.445205,0.396119,0.445205,0.247482,0.686698,0.654021,84,29,0.074593,-1,1,1
h3s,73,33,1,162,1.11428,0,5545,6250,-0.00935364,0.172649,0.0674429,0.243435,0.10464,1.05,1.27492,0.449315,0.39395,0.450685,0.279055,0.601436,0.552562,84,29,0.0752802,-1,1,1
h3s,74,33,1,257,2.17868,1,5403,6161,-0.0286732,0.155472,0.0557604,0.214079,0.102925,1.05,0.956771,0.465753,0.405137,0.475342,0.27947,0.587708,0.531673,84,29,0.0736963,-1,1,1
h3s,75,33,1,84,3.31783,0,6511,6484,0.0879335,0.250765,0.0854874,0.239857,0.0141313,1.05,0.95849,0.406849,0.384703,0.409589,0.209346,0.707231,0.68495,84,29,0.0708153,1,1,1
h3s,76,33,1,257,4.08522,0,5403,6316,-0.0286732,0.155472,0.0725079,0.218472,0.119267,1.05,1.07663,0.506849,0.422374,0.506849,0.298974,0.59165,0.529049,84,29,0.074036,1,1,1
h3s,77,33,1,299,5.35474,0,5677,5626,0.00568771,0.232563,-0.000775337,0.184223,0.04877,1.05,0.989091,0.442466,0.377968,0.442466,0.275004,0.612189,0.591534,84,29,0.0712108,-1,1,1
h3s,78,33,1,227,2.77671,1,6895,6573,0.11804,0.228951,0.0913305,0.247713,0.033584,1.05,1.01385,0.387671,0.392808,0.424658,0.246884,0.703376,0.675768,84,29,0.0737353,1,1,1
h3s,79,33,1,84,5.5339,1,6511,5726,0.0879335,0.250765,0.00946426,0.172441,0.110892,1.05,1.41037,0.419178,0.399201,0.428767,0.246418,0.689798,0.623481,84,29,0.0891729,-1,1,1
h3s,80,33,1,197,1.30611,0,6470,6629,0.0840807,0.227825,0.0944767,0.15519,0.0733758,1.05,0.96749,0.463014,0.409361,0.480822,0.275377,0.667309,0.632435,84,29,0.0726506,-1,1,1
h3s,81,33,1,257,3.58616,1,5403,5736,-0.0286732,0.155472,0.0108252,0.154205,0.0396795,1.05,0.99615,0.405479,0.364726,0.416438,0.239163,0.573419,0.549691,84,29,0.073454,-1,1,1
h3s,82,33,1,162,5.58246,1,5545,5449,-0.00935364,0.172649,-0.0228901,0.183447,0.0184691,1.05,1.00006,0.358904,0.367009,0.382192,0.204961,0.599425,0.574587,84,29,0.0718441,1,1,1
h3s,83,33,1,197,3.03606,0,6470,6527,0.0840807,0.227825,0.0889444,0.256184,0.0296525,1.05,0.959217,0.380822,0.411986,0.469863,0.203209,0.694806,0.670639,84,29,0.0715757,-1,1,1
h3s,84,33,1,257,2.06778,1,5403,5831,-0.0286732,0.155472,0.0213871,0.166279,0.0512142,1.05,1.00015,0.371233,0.368265,0.40274,0.214344,0.579645,0.551753,84,29,0.0742879,-1,1,1
h3s,85,33,1,257,0.328484,1,5403,6696,-0.0286732,0.155472,0.103173,0.253223,0.16422,1.05,1.13287,0.541096,0.439155,0.541096,0.332915,0.59388,0.527652,84,29,0.0797342,1,1,1
h3s,86,33,1,197,2.24155,1,6470,5788,0.0840807,0.227825,0.0169621,0.221672,0.0674001,1.05,0.987311,0.423288,0.379909,0.423288,0.257459,0.671564,0.632543,84,29,0.0732797,-1,1,1
h3s,87,33,1,227,1.34411,0,6895,6702,0.11804,0.228951,0.104162,0.254723,0.0292767,1.05,0.998262,0.443836,0.407763,0.443836,0.228837,0.718058,0.69045,84,29,0.0738901,1,1,1
h3s,88,33,1,257,5.90398,1,5403,6638,-0.0286732,0.155472,0.0985727,0.246902,0.156735,1.05,1.05561,0.561644,0.450913,0.571233,0.339971,0.594336,0.526399,84,29,0.0831034,1,1,1
h3s,89,33,1,90,3.45527,0,6647,5393,0.0966558,0.209372,-0.0297241,0.216806,0.126598,1.05,0.894498,0.530137,0.427968,0.532877,0.332815,0.664114,0.591907,84,29,0.0852911,-1,1,1
h3s,90,33,1,310,3.80415,0,5736,6088,0.0108252,0.154205,0.0482349,0.160582,0.0390008,1.05,1.03303,0.387671,0.369635,0.394521,0.222043,0.581203,0.554819,84,29,0.0729836,1,1,1
h3s,91,33,1,162,4.3773,1,5545,6642,-0.00935364,0.172649,0.0989418,0.254011,0.135474,1.05,1.17068,0.506849,0.44395,0.526027,0.319429,0.613574,0.553742,84,29,0.0778167,1,1,1
h3s,92,33,1,84,1.44887,0,6511,6572,0.0879335,0.250765,0.0900784,0.159637,0.0915582,1.05,0.932159,0.386301,0.408333,0.467123,0.243812,0.669276,0.635759,84,29,0.0779167,1,1,1
h3s,93,33,1,162,1.57054,1,5545,5990,-0.00935364,0.172649,0.0384779,0.204081,0.0575939,1.05,1.01209,0.391781,0.369863,0.405479,0.241536,0.5884,0.552869,84,29,0.0748595,-1,1,1
h3s,94,33,1,227,3.95772,1,6895,6549,0.11804,0.228951,0.091711,0.233597,0.0267745,1.05,0.997155,0.421918,0.401484,0.434247,0.23622,0.707698,0.680091,84,29,0.0740993,-1,1,1
h3s,95,33,1,257,5.35064,1,5403,5639,-0.0286732,0.155472,0.000921249,0.202608,0.0556888,1.05,1.0046,0.426027,0.371575,0.434247,0.241,0.593258,0.568301,84,29,0.0746363,1,1,1
h3s,96,33,1,310,4.53522,1,5736,5650,0.0108252,0.154205,0.0011797,0.154114,0.0102195,1.05,0.9988,0.331507,0.34863,0.383562,0.216626,0.554349,0.541339,84,29,0.0733809,1,1,1
h3s,97,33,1,90,3.69638,1,6647,6403,0.0966558,0.209372,0.0792217,0.232681,0.0291083,1.05,1.00069,0.387671,0.389954,0.4,0.216754,0.67286,0.646993,84,29,0.0732404,-1,1,1
h3s,98,33,1,227,4.4307,0,6895,5684,0.11804,0.228951,0.00577354,0.154039,0.134965,1.05,0.984885,0.493151,0.438813,0.493151,0.3056,0.673294,0.606879,84,29,0.0779438,-1,1,1
h3s,99,33,1,310,1.62593,0,5736,6045,0.0108252,0.154205,0.0442085,0.2027,0.0595601,1.05,1.03222,0.394521,0.386187,0.405479,0.253621,0.586751,0.558186,84,29,0.0750776,1,1,1
h3s,100,33,1,257,4.93527,1,5403,6917,-0.0286732,0.155472,0.117429,0.243496,0.170655,1.05,0.913787,0.536986,0.426484,0.549315,0.309728,0.594491,0.523957,84,29,0.093327,1,1,1
h3s,101,33,1,227,3.96377,1,6895,6307,0.11804,0.228951,0.0732946,0.244696,0.0478821,1.05,0.995697,0.438356,0.414041,0.453425,0.239534,0.704731,0.677124,84,29,0.0765556,-1,1,1
h3s,102,33,1,84,0.845991,1,6511,5735,0.0879335,0.250765,0.0103416,0.157879,0.121335,1.05,1.14882,0.482192,0.425457,0.484931,0.310895,0.68882,0.617593,84,29,0.0731714,1,1,1
