method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
h6_pulse,22,67,1,170,3.77793,0,8849,648,0.166447,0.131856,-0.220697,-0.343265,0.612889,1.05,1.02167,0.702041,0.528118,0.703401,0.977643,0.770726,0.581624,0.544488,59,189,0.085143,-1,1,1,,
h6_pulse,23,67,1,69,5.34634,0,6992,2116,0.130888,-0.358926,-0.180151,0.0338774,0.501324,1.05,1.12722,0.672109,0.539909,0.67619,0.975109,0.59736,0.709095,0.675345,59,189,0.081063,-1,1,1,,
h6_pulse,24,67,1,39,0.896644,0,4259,11020,-0.135469,-0.325872,0.303845,0.054204,0.58095,1.05,1.06267,0.69932,0.563832,0.69932,0.980811,0.71187,0.68076,0.648367,59,189,0.0718317,1,1,1,,
h6_pulse,25,67,1,305,6.18735,0,4299,10805,-0.120089,0.0142307,0.268419,0.0328608,0.38993,1.05,1.08901,0.657143,0.507483,0.657143,0.986604,0.544965,0.580041,0.540365,59,189,0.0904155,-1,1,1,,
h6_pulse,26,67,1,194,3.73534,1,2925,10776,-0.137318,0.0381174,0.246486,0.0263128,0.384539,1.05,0.965354,0.583673,0.464853,0.583673,0.978458,0.542647,0.577919,0.537406,59,189,0.0995693,1,1,1,,
h6_pulse,27,67,1,310,2.32128,0,5736,637,0.0103188,0.153647,-0.225106,-0.342656,0.549312,1.05,1.02303,0.780952,0.564399,0.794558,0.9647,0.693088,0.452574,0.415254,59,189,0.0893947,-1,1,1,,
h6_pulse,28,67,1,255,2.16792,0,5114,11020,-0.0682812,-0.348969,0.303845,0.054204,0.548659,1.05,0.998681,0.790476,0.584694,0.790476,0.990949,0.701113,0.721431,0.692246,59,189,0.0781806,1,1,1,,
h6_pulse,29,67,1,320,0.499942,1,10120,660,0.228546,0.164882,-0.220559,-0.342884,0.677899,1.05,1.06292,0.695238,0.526077,0.695238,0.956372,0.853607,0.587006,0.551129,59,189,0.0822614,1,1,1,,
h6_pulse,30,67,1,175,3.65141,1,5584,10223,-0.0057478,0.109012,0.214449,-0.351619,0.510556,1.05,1.0083,0.711565,0.524376,0.722449,0.955739,0.659158,0.46397,0.426489,59,189,0.0755614,1,1,1,,
h6_pulse,31,67,1,0,4.94226,0,8010,72,0.152023,0.103207,-0.231571,-0.000921249,0.397485,1.05,0.99804,0.707483,0.535488,0.707483,0.99122,0.525506,0.607006,0.564939,59,189,0.0838865,1,1,1,,
