method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid
h1,24,11,1,335,6.08499,0,464,10761,-0.228718,0.0163822,0.244075,0.0257826,0.473551,0.95,1.00474,0.731806,0.569183,0.731806,0.582,0.631577,0.593691,133,147,0.101527,1,1,1
h1,25,11,1,346,3.67089,1,6883,2116,0.119892,-0.264498,-0.182477,0.0326996,0.42417,0.95,0.903402,0.551213,0.499438,0.580863,0.520398,0.627098,0.590114,133,147,0.0776149,1,1,1
h1,26,11,1,28,0.187062,1,10375,72,0.238587,0.103936,-0.234023,-0.00157356,0.484262,0.95,0.971631,0.778976,0.599281,0.778976,0.598008,0.654166,0.610668,133,147,0.0884623,1,1,1
h1,27,11,1,208,5.26471,1,1862,10789,-0.183446,0.00956726,0.251837,0.0302725,0.435991,0.95,0.90733,0.649596,0.498203,0.657682,0.558609,0.602081,0.562314,133,147,0.0920476,1,1,1
h1,28,11,1,58,4.22784,1,10095,2593,0.208674,-0.160955,-0.172193,0.0298634,0.426027,0.95,0.971287,0.645553,0.510108,0.645553,0.57319,0.573686,0.534062,133,147,0.104757,-1,1,1
h1,29,11,1,90,4.13737,0,6647,758,0.0962086,0.206283,-0.217086,-0.344656,0.633859,0.95,0.926646,0.688679,0.509883,0.692722,0.715038,0.51497,0.466486,133,147,0.0874983,-1,1,1
h1,30,11,1,19,0.762764,1,4470,10223,-0.108949,0.184682,0.221531,-0.349481,0.628191,0.95,0.950327,0.71159,0.512242,0.71159,0.705096,0.527461,0.489926,133,147,0.0816252,1,1,1
h1,31,11,1,80,2.93711,1,7155,9,0.119939,0.0774355,-0.253302,0.0242414,0.377086,0.95,0.874802,0.609164,0.489106,0.613208,0.476036,0.603506,0.560151,133,147,0.0805699,-1,1,1
h1,32,11,1,289,4.58356,0,10063,72,0.269787,0.0161343,-0.234023,-0.00157356,0.504129,0.95,0.907752,0.729111,0.543351,0.753369,0.584147,0.626993,0.582916,133,147,0.0914421,-1,1,1
h1,33,11,1,11,4.54167,0,2006,10805,-0.17281,-0.0137501,0.269192,0.0356674,0.444894,0.95,0.954682,0.67655,0.522686,0.67655,0.586078,0.59883,0.557032,133,147,0.0959039,-1,1,1
h1,34,11,1,225,1.72419,0,8041,72,0.162231,0.0859537,-0.234023,-0.00157356,0.405916,0.95,0.914404,0.699461,0.531334,0.699461,0.548059,0.605982,0.563846,133,147,0.085691,1,1,1
h1,35,11,1,239,3.75203,0,10673,660,0.251783,0.143414,-0.221534,-0.343931,0.679363,0.95,0.902169,0.704852,0.519542,0.704852,0.725578,0.627265,0.592242,133,147,0.0823354,1,1,1
h1,36,11,1,206,5.02874,1,8980,72,0.22859,0.072093,-0.234023,-0.00157356,0.468688,0.95,0.979661,0.727763,0.579066,0.735849,0.573881,0.639235,0.595281,133,147,0.0831892,-1,1,1
h1,37,11,1,209,0.269837,1,3854,10995,-0.153094,-0.17223,0.29844,0.0537834,0.505099,0.95,1.00902,0.576819,0.45575,0.590297,0.629931,0.530413,0.492691,133,147,0.0760252,-1,1,1
h1,38,11,1,60,3.37829,0,3920,10995,-0.15379,-0.23377,0.29844,0.0537834,0.535984,0.95,0.99887,0.622642,0.476864,0.622642,0.641339,0.597183,0.561977,133,147,0.0757994,-1,1,1
h1,39,11,1,129,1.47062,1,7775,72,0.14717,0.107128,-0.234023,-0.00157356,0.396389,0.95,0.878531,0.673854,0.511456,0.673854,0.496624,0.611293,0.568037,133,147,0.0817384,-1,1,1
h1,40,11,1,32,4.61337,1,7744,2593,0.15091,-0.00881004,-0.172193,0.0298634,0.325486,0.95,1.08899,0.509434,0.436096,0.532345,0.46104,0.590297,0.548782,133,147,0.0856344,1,1,1
h1,41,11,1,335,0.120261,1,464,10724,-0.228718,0.0163822,0.244729,0.0212641,0.474063,0.95,1.00559,0.718329,0.561208,0.718329,0.578738,0.630832,0.592101,133,147,0.0894049,-1,1,1
h1,42,11,1,135,2.40424,1,5121,10223,-0.0595236,0.11169,0.221531,-0.349481,0.540136,0.95,0.90448,0.637466,0.48102,0.637466,0.605043,0.515628,0.47791,133,147,0.0759713,-1,1,1
h1,43,11,1,259,5.43343,1,2752,10907,-0.166492,-0.0709629,0.285689,0.0452337,0.466872,0.95,0.952829,0.615903,0.478661,0.618598,0.589392,0.564952,0.525737,133,147,0.0779394,-1,1,1
h1,44,11,1,14,2.2107,1,5570,11020,-0.00852489,-0.0676775,0.303435,0.0569115,0.335967,0.95,1.05444,0.487871,0.433401,0.501348,0.506458,0.551092,0.51843,133,147,0.0807829,-1,1,1
h1,45,11,1,124,2.65758,1,9146,31,0.183883,0.0948801,-0.250805,0.00788689,0.443416,0.95,0.977495,0.606469,0.478549,0.606469,0.580359,0.589136,0.546563,133,147,0.0964618,-1,1,1
h1,46,11,1,280,2.11819,1,3801,11020,-0.158261,-0.327012,0.303435,0.0569115,0.600491,0.95,0.991959,0.680593,0.515836,0.680593,0.673018,0.684519,0.649977,133,147,0.0728901,-1,1,1
h1,47,11,1,90,0.543391,0,6647,758,0.0962086,0.206283,-0.217086,-0.344656,0.633859,0.95,0.938658,0.704852,0.523473,0.710243,0.722673,0.508772,0.471202,133,147,0.0749452,1,1,1
h1,48,11,1,102,1.01039,0,7422,660,0.135014,0.161579,-0.221534,-0.343931,0.61862,0.95,0.886643,0.603774,0.478437,0.61186,0.688705,0.55204,0.516588,158,143,0.0818825,1,1,1
h1,49,11,1,318,4.95229,1,4728,11039,-0.101244,-0.166464,0.307089,0.0602894,0.467089,0.95,1.00902,0.590297,0.472821,0.591644,0.623538,0.531672,0.497019,158,143,0.077819,1,1,1
h1,50,11,1,86,4.78089,0,3744,10724,-0.150739,0.0622416,0.244729,0.0212641,0.398955,0.95,0.921399,0.663073,0.51752,0.663073,0.509738,0.602382,0.561592,158,143,0.0888587,1,1,1
h1,51,11,1,41,2.63766,1,1870,10789,-0.185262,0.0356102,0.251837,0.0302725,0.437367,0.95,0.947579,0.656334,0.513702,0.656334,0.57755,0.608644,0.568962,158,143,0.0993735,-1,1,1
h1,52,11,1,190,4.48604,1,5189,10223,-0.0535402,0.130122,0.221531,-0.349481,0.552956,0.95,0.910853,0.704852,0.502359,0.704852,0.649439,0.484607,0.447633,158,143,0.0737711,1,1,1
h1,53,11,1,207,0.46304,1,5089,11020,-0.0612211,-0.0812702,0.303435,0.0569115,0.390042,0.95,1.028,0.530997,0.437219,0.530997,0.545551,0.473723,0.437924,158,143,0.0862462,-1,1,1
h1,54,11,1,97,1.05443,1,1810,10789,-0.182119,-0.0909252,0.251837,0.0302725,0.45081,0.95,1.01719,0.59434,0.492588,0.614555,0.549544,0.548098,0.509575,158,143,0.0990693,1,1,1
