method,trial,seed,stage,bank_idx,yaw,mirror,idx_top,idx_move,rest_x_top,rest_y_top,rest_x_move,rest_y_move,rest_dist,target_ratio,meas_ratio,cov_plane,cov_yaw_mean,cov_yaw_max,vis_frac,extent_u,extent_v,drape_below_top,settle_steps,stretch_steps,p95_speed,x_sign,attached_ok,valid,kp_a,kp_b
hk_pairs,21,45,1,31,5.25179,1,6472,224,0.0860271,-0.329134,-0.221721,0.0423927,0.482616,1.05,1.03486,0.752732,0.56546,0.752732,0.975833,0.64204,0.708363,0.644531,420,145,0.0793228,1,1,1,11,3
hk_pairs,22,45,1,183,2.03506,0,4310,9841,-0.132963,-0.342716,0.197027,0.204229,0.638907,1.05,1.01072,0.763661,0.55214,0.763661,0.970221,0.803049,0.583512,0.514287,420,145,0.0783352,-1,1,1,9,2
hk_pairs,23,45,1,174,2.65709,1,9442,5858,0.233411,0.0544262,0.0263662,0.235632,0.276036,1.05,1.14025,0.501366,0.42418,0.508197,0.944786,0.43556,0.593028,0.525886,420,145,0.0938995,1,1,1,4,0
hk_pairs,24,45,1,161,6.03836,1,2296,9955,-0.170065,0.173468,0.202683,-0.118843,0.473695,1.05,1.10593,0.65847,0.511954,0.662568,0.958907,0.580773,0.506885,0.454982,420,145,0.0867126,1,1,1,1,6
hk_pairs,25,45,1,183,5.97358,0,4310,10964,-0.132963,-0.342716,0.284098,0.0404701,0.566507,1.05,1.00158,0.745902,0.564663,0.745902,0.976285,0.715723,0.692931,0.662212,420,145,0.0767241,1,1,1,9,3
hk_pairs,26,45,1,222,4.7362,1,3934,9955,-0.151329,-0.294903,0.202683,-0.118843,0.395377,1.05,1.16219,0.441257,0.371585,0.445355,0.934287,0.537201,0.525921,0.471588,420,145,0.0788015,1,1,1,9,6
hk_pairs,27,45,1,115,1.3684,0,3069,9841,-0.143905,-0.0775318,0.197027,0.204229,0.442294,1.05,1.13541,0.744536,0.534722,0.744536,0.946144,0.635494,0.521212,0.445366,420,145,0.0836948,1,1,1,6,2
hk_pairs,28,45,1,3,0.807523,0,6806,4116,0.10325,0.0450993,-0.129105,0.207911,0.28444,1.05,1.11257,0.587432,0.445241,0.587432,0.974475,0.441625,0.424972,0.342429,420,145,0.0867984,1,1,1,5,2
hk_pairs,29,45,1,149,4.57424,1,2641,10195,-0.166611,0.194302,0.216139,-0.341412,0.658425,1.05,1.01564,0.691257,0.50296,0.691257,0.973208,0.810555,0.541548,0.501463,420,145,0.079281,-1,1,1,1,9
hk_pairs,30,45,1,202,3.31445,0,144,6021,-0.231685,0.0509739,0.0385189,-0.17988,0.355397,1.05,0.980481,0.594262,0.526753,0.60929,0.941075,0.478993,0.674192,0.608607,420,145,0.089989,1,1,1,3,8
