dir,label,method,stage,trial,cov_saved,cov_plane,vis_frac
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,0,0.7256757020950317,0.7280108332633972,0.9897719025611877
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,1,0.44999995827674866,0.45060890913009644,0.9384503960609436
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,2,0.6270270347595215,0.6278755068778992,0.9686821103096008
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,3,0.6581080555915833,0.6589986085891724,0.9589065909385681
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,4,0.7635135054588318,0.7645466923713684,0.9740224480628967
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,5,0.7324324250221252,0.7334235310554504,0.9851557016372681
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,6,0.4418918788433075,0.4411366879940033,0.940170168876648
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,7,0.7418918609619141,0.742895781993866,0.9860607981681824
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,8,0.45675674080848694,0.45872801542282104,0.9671433568000793
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,9,0.5,0.5006765723228455,0.940170168876648
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,10,0.4189189076423645,0.42083895206451416,0.9122918248176575
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,11,0.8662161827087402,0.8660351037979126,0.9983707666397095
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,12,0.6891891956329346,0.6901217699050903,0.9837074875831604
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,13,0.43378376960754395,0.4357239305973053,0.9444243311882019
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,14,0.4094594419002533,0.4100135266780853,0.8904778957366943
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,15,0.46621620655059814,0.46684709191322327,0.9081281423568726
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,16,0.4932432472705841,0.49391070008277893,0.9362780451774597
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,17,0.7418918609619141,0.7442489862442017,0.9738414287567139
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,18,0.4189189076423645,0.41948577761650085,0.9000723958015442
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,19,0.6621621251106262,0.661704957485199,0.9461441040039062
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,20,0.4256756901741028,0.42625170946121216,0.893012285232544
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,21,0.4932432472705841,0.49391070008277893,0.9256879091262817
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,22,0.4027026891708374,0.4032476246356964,0.9012491106987
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,23,0.431081086397171,0.4316644072532654,0.908761739730835
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,24,0.4864864647388458,0.4871447682380676,0.9513034224510193
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,25,0.4513513445854187,0.45196211338043213,0.9434286952018738
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,26,0.46891888976097107,0.4695534408092499,0.9350108504295349
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,27,0.5148648619651794,0.515561580657959,0.9391745328903198
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,28,0.38783782720565796,0.3883626461029053,0.9049601554870605
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,29,0.46891888976097107,0.4695534408092499,0.94333815574646
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,30,0.5351351499557495,0.5358592867851257,0.9567342400550842
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,31,0.40810808539390564,0.4073071777820587,0.9619840979576111
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,32,0.6864864826202393,0.6874154210090637,0.9782766103744507
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,33,0.7729730010032654,0.7740189433097839,0.9949312210083008
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,34,0.40675675868988037,0.4073071777820587,0.9311187267303467
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,35,0.43648648262023926,0.437077134847641,0.956824779510498
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,36,0.40405404567718506,0.4046007990837097,0.9108436107635498
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,37,0.4391891658306122,0.4397834837436676,0.9073135256767273
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,38,0.4486486315727234,0.44925573468208313,0.9346488118171692
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,39,0.7067567706108093,0.7077131271362305,0.9940260648727417
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,40,0.3635134994983673,0.3653585910797119,0.9451484680175781
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,41,0.6405405402183533,0.641407310962677,0.984250545501709
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,42,0.683783769607544,0.6847090721130371,0.9933924674987793
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,43,0.35945945978164673,0.3599458634853363,0.9166364669799805
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,44,0.46891888976097107,0.4695534408092499,0.9141020774841309
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,45,0.7729730010032654,0.7740189433097839,0.9926683306694031
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,46,0.429729700088501,0.4303112030029297,0.9634323120117188
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,47,0.5243242979049683,0.5263869762420654,0.9227009415626526
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,48,0.708108127117157,0.7090663313865662,0.9922158122062683
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,49,0.7364864945411682,0.7374830842018127,0.979091227054596
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,50,0.37837836146354675,0.37889039516448975,0.9437907338142395
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,51,0.7864864468574524,0.7875507473945618,0.9887762665748596
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,52,0.699999988079071,0.6995940208435059,0.9589971303939819
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,53,0.6554054021835327,0.6549391150474548,0.9402607083320618
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,54,0.4283783733844757,0.4276048541069031,0.8635047078132629
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,55,0.5189188718795776,0.5209742784500122,0.9467777013778687
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,56,0.5621621608734131,0.5629228949546814,0.9847031235694885
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,57,0.6297297477722168,0.6305818557739258,0.9510318636894226
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,58,0.4000000059604645,0.4018944501876831,0.883327305316925
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,59,0.7472972869873047,0.7483084797859192,0.9706734418869019
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,60,0.43378376960754395,0.434370756149292,0.9047791361808777
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,61,0.3986486494541168,0.3991881012916565,0.8643193244934082
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,62,0.683783769607544,0.686062216758728,0.9646089673042297
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,63,0.6918918490409851,0.6914749145507812,0.9960173964500427
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,64,0.4378378391265869,0.437077134847641,0.9415279030799866
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,65,0.4351350963115692,0.4357239305973053,0.8730992078781128
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,66,0.5716216564178467,0.5723951458930969,0.9727552533149719
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,67,0.7445945739746094,0.7456021308898926,0.9586350321769714
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,68,0.3986486494541168,0.3991881012916565,0.9244207143783569
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,69,0.8405405282974243,0.8416779041290283,0.9943881034851074
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,70,0.6337838172912598,0.6346414089202881,0.9648805260658264
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,71,0.7810810804367065,0.7821379899978638,0.992577850818634
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,72,0.6486486792564392,0.6481732130050659,0.9644279479980469
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,73,0.4621621370315552,0.46143436431884766,0.9492215514183044
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,74,0.7013513445854187,0.7023004293441772,0.9826213121414185
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,75,0.6621621251106262,0.6630581617355347,0.9525706171989441
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,76,0.44999995827674866,0.45060890913009644,0.9497646689414978
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,77,0.42432430386543274,0.42354536056518555,0.930756688117981
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,78,0.8243243098258972,0.8254397511482239,0.9986422657966614
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,79,0.6364864706993103,0.6373477578163147,0.9666907787322998
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,80,0.4405405521392822,0.4411366879940033,0.9019731879234314
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,81,0.4581080973148346,0.45872801542282104,0.9681390523910522
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,82,0.637837827205658,0.6387009024620056,0.97166907787323
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,83,0.7567567229270935,0.7577807903289795,0.9942070841789246
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,84,0.6810810565948486,0.6820027232170105,0.9667813181877136
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,85,0.4324324131011963,0.4330175518989563,0.950488805770874
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,86,0.4729729890823364,0.4736129939556122,0.9290369153022766
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,87,0.5567567944526672,0.5575101375579834,0.9753801822662354
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,88,0.49189186096191406,0.49255749583244324,0.9618030190467834
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,89,0.5081080794334412,0.5074424743652344,0.9503982663154602
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,90,0.5202702879905701,0.5223274230957031,0.9078566431999207
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,91,0.7445945739746094,0.7442489862442017,0.9919442534446716
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,92,0.6270270347595215,0.6278755068778992,0.9276792407035828
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,93,0.4405405521392822,0.4411366879940033,0.9738414287567139
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,94,0.4094594419002533,0.4100135266780853,0.9414373636245728
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,95,0.7283783555030823,0.7293640375137329,0.9926683306694031
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,96,0.45540541410446167,0.45737481117248535,0.9681390523910522
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,97,0.4621621370315552,0.46278753876686096,0.930756688117981
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,98,0.43648648262023926,0.4357239305973053,0.9540188312530518
h7_shoulder,shoulder↔shoulder,h7_shoulder,1,99,0.4378378391265869,0.4384303390979767,0.8873099088668823
